timestamp,block_height,size,fees,price,num_txs,weight
1541513704,549017,251,0.0,6414.704287,1,1004
1541517306,549020,1283597,0.16996370999999932,6420.264797999999,2581,3993059
1541521574,549027,1293434,0.11576595000000013,6417.315723,2609,3993194
1541523901,549031,1228182,0.15676032000000004,6422.9491179999995,2728,3993384
1541526915,549033,1333051,0.1945036200000008,6421.691396,3469,3992998
1541531710,549037,1328737,0.22981086000000064,6423.41,2949,3993283
1541538969,549047,1256382,0.2495112800000001,6418.92,3362,3998322
1541539515,549049,1200683,0.12625240000000024,6420.07,2797,3993074
1541539561,549050,1146757,0.05270677000000035,6419.505233,2103,3992602
1541541301,549052,1281134,0.17588478999999954,6419.934564,2770,3992897
1541546288,549061,1126523,0.08241585000000029,6438.416172,2189,3993110
1541547124,549065,238,0.0,6438.974836,1,952
1541559317,549080,1110529,0.05306090999999924,6520.618352,2823,3993181
1541560152,549082,1210483,0.17140994999999926,6517.835495,2645,3992809
1541561299,549083,1270886,0.20901955000000072,6522.296156,2692,3993221
1541561478,549085,1726421,0.027096130000000333,6522.49,792,3993089
1541562606,549088,1790497,0.07412586000000054,6508.430511,1481,3992851
1541568857,549098,1236612,0.17913066999999927,6507.4222979999995,2604,3998547
1541573162,549102,1198499,0.2937986499999994,6509.919853,2855,3992957
1541573884,549105,44577,0.011032229999999643,6511.2128840000005,114,144204
1541574975,549108,1133781,0.07648438000000013,6512.44711,2925,3992592
1541575219,549109,214708,0.032448379999999936,6514.981588000001,489,705919
1541575518,549110,1126833,0.0846222799999996,6509.366558,1347,3992982
1541575573,549111,357798,0.007426640000000263,6507.2290299999995,318,1295970
1541578156,549115,1122693,0.0580668400000004,6516.545811,3001,3998514
1541578338,549116,799991,0.03505872000000032,6516.901402,929,2750828
1541578510,549117,481869,0.052292180000000237,6519.51,805,1665051
1541578632,549118,282535,0.035980779999999164,6519.199801,553,985084
1541583067,549121,1238318,0.2757759800000006,6511.909618,2706,3993143
1541587020,549128,1224356,0.1840814999999996,6502.840848,2477,3993020
